demand_key,external_ingredient_ids,external_names,map_states,exactness_tiers,familyfoodos_food_code,candidate_recipe_count,candidate_row_count,candidate_input_mass_g,exact_variant_recipe_count,exact_variant_input_mass_g,source_strategy,rights_status,authority_blocker,proposed_dc2_batch,rationale
FFOS:APPLE,ING-0070,Яблоки,ALIAS_EXISTING,A_REFERENCE,APPLE,1,1,200,1,200,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:BARLEY_PEARLED,ING-0022,Крупа перловая,EXACT_EXISTING,A_REFERENCE,BARLEY_PEARLED,1,2,80,0,0,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:BUCKWHEAT,ING-0020,Крупа гречневая ядрица,ALIAS_EXISTING,A_REFERENCE,BUCKWHEAT,1,1,80,1,80,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:CINNAMON_GROUND,ING-0230,Корица,ALIAS_EXISTING,A_REFERENCE,CINNAMON_GROUND,1,1,0.1,1,0.1,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:PASTA_DRY,ING-0029,Макаронные изделия в/с,ALIAS_EXISTING,A_REFERENCE,PASTA_DRY,1,1,350,1,350,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
FFOS:SPINACH,ING-0117,Шпинат,EXACT_EXISTING,A_REFERENCE,SPINACH,1,2,25,0,0,REUSE_CURRENT_ACCEPTED_PROFILE,ACCEPTED_REPOSITORY_TRUTH,NONE,REUSE_NO_DC2_WRITE,Existing accepted FamilyFoodOS identity/profile; do not re-promote external nutrients.
EXTERNAL_FORM:маргарин_молочный,ING-0030,Маргарин молочный,NEW_FOOD_CANDIDATE,A_REFERENCE,,13,21,188,10,73,RU_PRIMARY_OFFICIAL_CANDIDATE,BLOCKED_PENDING_RIGHTS_REVIEW,EXACT_PRIMARY_ROW_REQUIRED,DC2-A_HIGH_IMPACT,"Exact-form reference exists, but the legacy/secondary numeric row is not production authority; pin a primary/official row."
EXTERNAL_FORM:молоко_пастеризованное_3_2,ING-0034,"Молоко пастеризованное 3,2%",FORM_SPLIT_CANDIDATE,A_REFERENCE,,8,13,5581,5,1181,RU_PRIMARY_OFFICIAL_CANDIDATE_AFTER_FORM_SPLIT,BLOCKED_PENDING_RIGHTS_REVIEW,FORM_SPLIT_REQUIRED,DC2-A_HIGH_IMPACT,"Choose the exact FamilyFoodOS form first, then pin a compatible Russian primary/official composition row under the canonical rights policy."
EXTERNAL_FORM:сметана_30,ING-0047,Сметана 30%,FORM_SPLIT_CANDIDATE,A_REFERENCE,,7,7,780,7,780,RU_PRIMARY_OFFICIAL_CANDIDATE_AFTER_FORM_SPLIT,BLOCKED_PENDING_RIGHTS_REVIEW,FORM_SPLIT_REQUIRED,DC2-A_HIGH_IMPACT,"Choose the exact FamilyFoodOS form first, then pin a compatible Russian primary/official composition row under the canonical rights policy."
EXTERNAL_FORM:сухари_сливочные_аппроксимация_панировки,ING-0053,Сухари сливочные (аппроксимация панировки),FORM_SPLIT_CANDIDATE,A_REFERENCE,,7,7,52,7,52,RU_PRIMARY_OFFICIAL_CANDIDATE_AFTER_FORM_SPLIT,BLOCKED_PENDING_RIGHTS_REVIEW,FORM_SPLIT_REQUIRED,DC2-A_HIGH_IMPACT,"Choose the exact FamilyFoodOS form first, then pin a compatible Russian primary/official composition row under the canonical rights policy."
EXTERNAL_FORM:жир_кулинарный,ING-0014,Жир кулинарный,NEW_FOOD_CANDIDATE,A_REFERENCE,,4,6,131,3,35,RU_PRIMARY_OFFICIAL_CANDIDATE,BLOCKED_PENDING_RIGHTS_REVIEW,EXACT_PRIMARY_ROW_REQUIRED,DC2-A_HIGH_IMPACT,"Exact-form reference exists, but the legacy/secondary numeric row is not production authority; pin a primary/official row."
EXTERNAL_FORM:крупа_манная,ING-0021,Крупа манная,NEW_FOOD_CANDIDATE,A_REFERENCE,,4,8,173,2,28,RU_PRIMARY_OFFICIAL_CANDIDATE,BLOCKED_PENDING_RIGHTS_REVIEW,EXACT_PRIMARY_ROW_REQUIRED,DC2-A_HIGH_IMPACT,"Exact-form reference exists, but the legacy/secondary numeric row is not production authority; pin a primary/official row."
EXTERNAL_FORM:крупа_рисовая,ING-0024,Крупа рисовая,FORM_SPLIT_CANDIDATE,A_REFERENCE,,4,6,140,2,25,RU_PRIMARY_OFFICIAL_CANDIDATE_AFTER_FORM_SPLIT,BLOCKED_PENDING_RIGHTS_REVIEW,FORM_SPLIT_REQUIRED,DC2-A_HIGH_IMPACT,"Choose the exact FamilyFoodOS form first, then pin a compatible Russian primary/official composition row under the canonical rights policy."
EXTERNAL_FORM:куры_i_категории,ING-0025,Куры I категории,NEW_FOOD_CANDIDATE,A_REFERENCE,,4,4,306,4,306,RU_PRIMARY_OFFICIAL_CANDIDATE,BLOCKED_PENDING_RIGHTS_REVIEW,EXACT_PRIMARY_ROW_REQUIRED,DC2-A_HIGH_IMPACT,"Exact-form reference exists, but the legacy/secondary numeric row is not production authority; pin a primary/official row."
EXTERNAL_FORM:петрушка_корень,ING-0041,Петрушка (корень),FORM_SPLIT_CANDIDATE,A_REFERENCE,,4,10,110,0,0,RU_PRIMARY_OFFICIAL_CANDIDATE_AFTER_FORM_SPLIT,BLOCKED_PENDING_RIGHTS_REVIEW,FORM_SPLIT_REQUIRED,DC2-A_HIGH_IMPACT,"Choose the exact FamilyFoodOS form first, then pin a compatible Russian primary/official composition row under the canonical rights policy."
EXTERNAL_FORM:говядина_котлетная,ING-0009,Говядина котлетная,NEW_FOOD_CANDIDATE,C_PROXY,,3,3,1215,2,75,OFFICIAL_SOURCE_AFTER_IDENTITY_REVIEW,REFERENCE_ONLY,PROXY_IDENTITY_REVIEW_REQUIRED,DC2-A_HIGH_IMPACT,Current row is a proxy; production identity must close before nutrition authority.
EXTERNAL_FORM:творог_полужирный,ING-0056,Творог полужирный,NEW_FOOD_CANDIDATE,A_REFERENCE,,3,3,350,3,350,RU_PRIMARY_OFFICIAL_CANDIDATE,BLOCKED_PENDING_RIGHTS_REVIEW,EXACT_PRIMARY_ROW_REQUIRED,DC2-A_HIGH_IMPACT,"Exact-form reference exists, but the legacy/secondary numeric row is not production authority; pin a primary/official row."
EXTERNAL_FORM:хлеб_пшеничный_из_муки_высшего_сорта,ING-0063,Хлеб пшеничный из муки высшего сорта,FORM_SPLIT_CANDIDATE,A_REFERENCE,,3,3,43,3,43,RU_PRIMARY_OFFICIAL_CANDIDATE_AFTER_FORM_SPLIT,BLOCKED_PENDING_RIGHTS_REVIEW,FORM_SPLIT_REQUIRED,DC2-A_HIGH_IMPACT,"Choose the exact FamilyFoodOS form first, then pin a compatible Russian primary/official composition row under the canonical rights policy."
EXTERNAL_FORM:жир_животный_топленый,ING-0013,Жир животный топленый,NEW_FOOD_CANDIDATE,A_REFERENCE,,2,3,11,2,11,RU_PRIMARY_OFFICIAL_CANDIDATE,BLOCKED_PENDING_RIGHTS_REVIEW,EXACT_PRIMARY_ROW_REQUIRED,DC2-A_HIGH_IMPACT,"Exact-form reference exists, but the legacy/secondary numeric row is not production authority; pin a primary/official row."
EXTERNAL_FORM:огурцы_соленые,ING-0038,Огурцы соленые,FORM_SPLIT_CANDIDATE,B_MULTI_SOURCE_REFERENCE,,2,2,90,2,90,OFFICIAL_SOURCE_REQUIRED_AFTER_FORM_SPLIT,UNRESOLVED,FORM_SPLIT_REQUIRED,DC2-A_HIGH_IMPACT,Current reference/proxy evidence is insufficient; exact form and one compatible official authority must be established.
EXTERNAL_FORM:сметана_20_жирности,ING-0046,Сметана 20% жирности,FORM_SPLIT_CANDIDATE,A_REFERENCE,,2,3,170,2,170,RU_PRIMARY_OFFICIAL_CANDIDATE_AFTER_FORM_SPLIT,BLOCKED_PENDING_RIGHTS_REVIEW,FORM_SPLIT_REQUIRED,DC2-A_HIGH_IMPACT,"Choose the exact FamilyFoodOS form first, then pin a compatible Russian primary/official composition row under the canonical rights policy."
EXTERNAL_FORM:брюква,ING-0180,Брюква,NEW_FOOD_CANDIDATE,A_REFERENCE,,2,5,105,0,0,RU_PRIMARY_OFFICIAL_CANDIDATE,BLOCKED_PENDING_RIGHTS_REVIEW,EXACT_PRIMARY_ROW_REQUIRED,DC2-B_COMMON_EXTENSION,"Exact-form reference exists, but the legacy/secondary numeric row is not production authority; pin a primary/official row."
EXTERNAL_FORM:салат_листовой,ING-0073,Салат листовой,NEW_FOOD_CANDIDATE,A_REFERENCE,,2,3,35,1,10,RU_PRIMARY_OFFICIAL_CANDIDATE,BLOCKED_PENDING_RIGHTS_REVIEW,EXACT_PRIMARY_ROW_REQUIRED,DC2-B_COMMON_EXTENSION,"Exact-form reference exists, but the legacy/secondary numeric row is not production authority; pin a primary/official row."
EXTERNAL_FORM:тыква,ING-0145,Тыква,NEW_FOOD_CANDIDATE,A_REFERENCE,,2,6,1385,0,0,RU_PRIMARY_OFFICIAL_CANDIDATE,BLOCKED_PENDING_RIGHTS_REVIEW,EXACT_PRIMARY_ROW_REQUIRED,DC2-B_COMMON_EXTENSION,"Exact-form reference exists, but the legacy/secondary numeric row is not production authority; pin a primary/official row."
EXTERNAL_FORM:leavening_agents_yeast_baker_s_compressed,ING-0097,"Leavening agents, yeast, baker's, compressed",NEW_FOOD_CANDIDATE,B_REFERENCE,,1,1,3,1,3,OFFICIAL_PRIMARY_SOURCE_TO_VERIFY,UNRESOLVED,AUTHORITY_REVIEW_REQUIRED,DC2-B_COMMON_EXTENSION,Current B-tier/multi-source reference remains curation evidence; pin one compatible official authority.
EXTERNAL_FORM:горох_лущеный,ING-0011,Горох лущеный,NEW_FOOD_CANDIDATE,A_REFERENCE,,1,2,280,0,0,RU_PRIMARY_OFFICIAL_CANDIDATE,BLOCKED_PENDING_RIGHTS_REVIEW,EXACT_PRIMARY_ROW_REQUIRED,DC2-B_COMMON_EXTENSION,"Exact-form reference exists, but the legacy/secondary numeric row is not production authority; pin a primary/official row."
EXTERNAL_FORM:горох_овощной_лопатка,ING-0192,Горох овощной (лопатка),NEW_FOOD_CANDIDATE,A_REFERENCE,,1,2,80,0,0,RU_PRIMARY_OFFICIAL_CANDIDATE,BLOCKED_PENDING_RIGHTS_REVIEW,EXACT_PRIMARY_ROW_REQUIRED,DC2-B_COMMON_EXTENSION,"Exact-form reference exists, but the legacy/secondary numeric row is not production authority; pin a primary/official row."
EXTERNAL_FORM:изюм,ING-0079,Изюм,NEW_FOOD_CANDIDATE,B_REFERENCE,,1,1,30,1,30,OFFICIAL_PRIMARY_SOURCE_TO_VERIFY,UNRESOLVED,AUTHORITY_REVIEW_REQUIRED,DC2-B_COMMON_EXTENSION,Current B-tier/multi-source reference remains curation evidence; pin one compatible official authority.
EXTERNAL_FORM:сельдерей_корень,ING-0137,Сельдерей (корень),FORM_SPLIT_CANDIDATE,C_PROXY,,3,4,30,0,0,OFFICIAL_SOURCE_REQUIRED_AFTER_FORM_SPLIT,UNRESOLVED,FORM_SPLIT_REQUIRED,DC2-C_IDENTITY_FORM_REVIEW,Current reference/proxy evidence is insufficient; exact form and one compatible official authority must be established.
EXTERNAL_FORM:лук_порей,ING-0119,Лук-порей,NEW_FOOD_CANDIDATE,C_PROXY,,2,3,70,0,0,OFFICIAL_SOURCE_AFTER_IDENTITY_REVIEW,REFERENCE_ONLY,PROXY_IDENTITY_REVIEW_REQUIRED,DC2-C_IDENTITY_FORM_REVIEW,Current row is a proxy; production identity must close before nutrition authority.
EXTERNAL_FORM:чернослив,ING-0066,Чернослив,FORM_SPLIT_CANDIDATE,B_REFERENCE,,2,3,100,1,20,OFFICIAL_SOURCE_REQUIRED_AFTER_FORM_SPLIT,UNRESOLVED,FORM_SPLIT_REQUIRED,DC2-C_IDENTITY_FORM_REVIEW,Current reference/proxy evidence is insufficient; exact form and one compatible official authority must be established.
EXTERNAL_FORM:fat_chicken,ING-0076,"Fat, chicken",NEW_FOOD_CANDIDATE,C_PROXY,,1,1,2,1,2,OFFICIAL_SOURCE_AFTER_IDENTITY_REVIEW,REFERENCE_ONLY,PROXY_IDENTITY_REVIEW_REQUIRED,DC2-C_IDENTITY_FORM_REVIEW,Current row is a proxy; production identity must close before nutrition authority.
EXTERNAL_FORM:баранина_котлетная,ING-0113,Баранина котлетная,NEW_FOOD_CANDIDATE,C_PROXY,,1,1,1140,0,0,OFFICIAL_SOURCE_AFTER_IDENTITY_REVIEW,REFERENCE_ONLY,PROXY_IDENTITY_REVIEW_REQUIRED,DC2-C_IDENTITY_FORM_REVIEW,Current row is a proxy; production identity must close before nutrition authority.
EXTERNAL_FORM:крупа_пшенная,ING-0023,Крупа пшенная,FORM_SPLIT_CANDIDATE,A_REFERENCE,,1,3,90,0,0,RU_PRIMARY_OFFICIAL_CANDIDATE_AFTER_FORM_SPLIT,BLOCKED_PENDING_RIGHTS_REVIEW,FORM_SPLIT_REQUIRED,DC2-C_IDENTITY_FORM_REVIEW,"Choose the exact FamilyFoodOS form first, then pin a compatible Russian primary/official composition row under the canonical rights policy."
EXTERNAL_FORM:майонез,ING-0074,Майонез,FORM_SPLIT_CANDIDATE,B_COMPATIBLE_REFERENCE,,1,1,40,1,40,OFFICIAL_SOURCE_REQUIRED_AFTER_FORM_SPLIT,UNRESOLVED,FORM_SPLIT_REQUIRED,DC2-C_IDENTITY_FORM_REVIEW,Current reference/proxy evidence is insufficient; exact form and one compatible official authority must be established.
EXTERNAL_FORM:свинина_котлетная,ING-0044,Свинина котлетная,NEW_FOOD_CANDIDATE,C_PROXY,,1,1,1140,0,0,OFFICIAL_SOURCE_AFTER_IDENTITY_REVIEW,REFERENCE_ONLY,PROXY_IDENTITY_REVIEW_REQUIRED,DC2-C_IDENTITY_FORM_REVIEW,Current row is a proxy; production identity must close before nutrition authority.
EXTERNAL_FORM:свинокопчености,ING-0112,Свинокопчености,FORM_SPLIT_CANDIDATE,C_PROXY,,1,1,60,1,60,OFFICIAL_SOURCE_REQUIRED_AFTER_FORM_SPLIT,UNRESOLVED,FORM_SPLIT_REQUIRED,DC2-C_IDENTITY_FORM_REVIEW,Current reference/proxy evidence is insufficient; exact form and one compatible official authority must be established.
EXTERNAL_FORM:сыр_российский_proxy_для_твердого_сыра,ING-0055,Сыр российский (proxy для твердого сыра),NEW_FOOD_CANDIDATE,C_PROXY,,1,2,25,0,0,OFFICIAL_SOURCE_AFTER_IDENTITY_REVIEW,REFERENCE_ONLY,PROXY_IDENTITY_REVIEW_REQUIRED,DC2-C_IDENTITY_FORM_REVIEW,Current row is a proxy; production identity must close before nutrition authority.
