source_recipe_id,source_ingredient_text,normalized_concept,existing_food_ingredient_code,resolution_status,missing_reason
SNAP4-SPANISH-FRITTATA,½ teaspoon salt,salt,SALT,RESOLVED_EXISTING,
SNAP4-SPANISH-FRITTATA,¼ teaspoon black pepper,black_pepper,BLACK_PEPPER,RESOLVED_EXISTING,
FNS5-BAKED-LENTILS-CASSEROLE,"1 cup lentils, rinsed",lentils_dry,LENTILS_DRY,RESOLVED_EXISTING,
FNS5-BAKED-LENTILS-CASSEROLE,¾ cup water,water,WATER,RESOLVED_EXISTING,
FNS5-BAKED-LENTILS-CASSEROLE,½ teaspoon salt,salt,SALT,RESOLVED_EXISTING,
FNS5-BAKED-LENTILS-CASSEROLE,"½ cup medium onion, chopped",onion_yellow,ONION_YELLOW,RESOLVED_EXISTING,
FNS5-BAKED-LENTILS-CASSEROLE,1 can low-sodium tomatoes (14.5 ounces),tomato_canned_no_salt,TOMATO_CANNED_NO_SALT,RESOLVED_EXISTING,
FNS5-BAKED-LENTILS-CASSEROLE,"2 medium carrots, thinly sliced",carrot,CARROT,RESOLVED_EXISTING,
FNS5-BAKED-LENTILS-CASSEROLE,½ cup shredded cheddar cheese,cheese_cheddar,CHEESE_CHEDDAR,RESOLVED_EXISTING,
HARV6-FRESH-TOMATO-SALSA,"1 cup tomatoes, finely chopped (or ½ can, about 8 ounces, low-sodium diced tomatoes)",tomato,TOMATO,RESOLVED_EXISTING,
HARV6-FRESH-TOMATO-SALSA,"½ cup apple, peeled and finely chopped",apple,APPLE,RESOLVED_EXISTING,
HARV6-FRESH-TOMATO-SALSA,"¼ cup onion, finely chopped",onion_yellow,ONION_YELLOW,RESOLVED_EXISTING,
HARV6-FRESH-TOMATO-SALSA,2 tablespoons lime (or lemon) juice,lime_juice,LIME_JUICE,RESOLVED_EXISTING,
HARV6-FRESH-TOMATO-SALSA,"1 teaspoon garlic, finely chopped",garlic,GARLIC,RESOLVED_EXISTING,
HARV6-FRESH-TOMATO-SALSA,½ teaspoon vegetable oil,sunflower_oil,SUNFLOWER_OIL,RESOLVED_EXISTING,
HARV6-FRESH-TOMATO-SALSA,¼ teaspoon salt,salt,SALT,RESOLVED_EXISTING,
HARV6-GARDEN-PASTA-SALAD,"½ cup macaroni, cooked",pasta_dry,PASTA_DRY,RESOLVED_EXISTING,
HARV6-GARDEN-PASTA-SALAD,"¼ cup onion, finely chopped",onion_yellow,ONION_YELLOW,RESOLVED_EXISTING,
HARV6-GARDEN-PASTA-SALAD,"½ cup cucumber, finely chopped",cucumber,CUCUMBER,RESOLVED_EXISTING,
HARV6-GARDEN-PASTA-SALAD,"¼ cup green pepper, diced",bell_pepper_green,BELL_PEPPER_GREEN,RESOLVED_EXISTING,
HARV6-GARDEN-PASTA-SALAD,1 tablespoon vinegar,apple_cider_vinegar,APPLE_CIDER_VINEGAR,RESOLVED_EXISTING,
HARV6-GARDEN-PASTA-SALAD,½ tablespoon vegetable oil,sunflower_oil,SUNFLOWER_OIL,RESOLVED_EXISTING,
HARV6-GARDEN-PASTA-SALAD,¼ teaspoon salt,salt,SALT,RESOLVED_EXISTING,
HARV6-GARDEN-PASTA-SALAD,¼ teaspoon pepper,black_pepper,BLACK_PEPPER,RESOLVED_EXISTING,
SNAP6-SPINACH-APPLE-SALAD,"2/3 package baby spinach (10 ounces, washed. Could also use Kale or other greens)",spinach,SPINACH,RESOLVED_EXISTING,
SNAP6-SPINACH-APPLE-SALAD,"1 1/2 apples (chopped, can use 1-2 apples)",apple,APPLE,RESOLVED_EXISTING,
SNAP6-SPINACH-APPLE-SALAD,1 cup raisins,raisins_golden,RAISINS_GOLDEN,RESOLVED_EXISTING,
SNAP6-SPINACH-APPLE-SALAD,1/4 cup canola oil,canola_oil,CANOLA_OIL,RESOLVED_EXISTING,
SNAP6-SPINACH-APPLE-SALAD,1/4 cup apple cider vinegar,apple_cider_vinegar,APPLE_CIDER_VINEGAR,RESOLVED_EXISTING,
SNAP6-SPINACH-APPLE-SALAD,1/4 cup sugar,sugar,SUGAR,RESOLVED_EXISTING,
SNAP6-SPINACH-APPLE-SALAD,1/16 teaspoon garlic powder (pinch),garlic_powder,GARLIC_POWDER,RESOLVED_EXISTING,
SNAP6-PEACH-CRISP,4 peaches (4 cups sliced),peach,PEACH,RESOLVED_EXISTING,
SNAP6-PEACH-CRISP,2 tablespoons margarine,margarine,MARGARINE,RESOLVED_EXISTING,
SNAP6-PEACH-CRISP,3/4 cup quick-cooking oats,oats_rolled,OATS_ROLLED,RESOLVED_EXISTING,
SNAP6-PEACH-CRISP,1/2 cup sugar,sugar,SUGAR,RESOLVED_EXISTING,
SNAP6-PEACH-CRISP,1/4 cup flour,flour_wheat,FLOUR_WHEAT,RESOLVED_EXISTING,
SNAP6-PEACH-CRISP,2 teaspoons cinnamon,cinnamon_ground,CINNAMON_GROUND,RESOLVED_EXISTING,
SNAP6-PEACH-CRISP,1 teaspoon lemon juice,lemon,LEMON,RESOLVED_EXISTING,
SNAP6-SEARED-GREENS,8 cups kale or collard greens (1 1/2 pounds),kale,KALE,RESOLVED_EXISTING,
SNAP6-SEARED-GREENS,2 tablespoons vegetable oil (or olive oil),olive_oil,OLIVE_OIL,RESOLVED_EXISTING,
SNAP6-SEARED-GREENS,4 garlic cloves (chopped),garlic,GARLIC,RESOLVED_EXISTING,
SNAP6-SEARED-GREENS,1 cup water,water,WATER,RESOLVED_EXISTING,
SNAP6-SEARED-GREENS,1/4 teaspoon salt,salt,SALT,RESOLVED_EXISTING,
SNAP6-SEARED-GREENS,1 teaspoon black pepper,black_pepper,BLACK_PEPPER,RESOLVED_EXISTING,
SNAP6-SEARED-GREENS,"2 tablespoons vinegar, cider",apple_cider_vinegar,APPLE_CIDER_VINEGAR,RESOLVED_EXISTING,
SNAP8-SOMALI-SUMMER-SALAD,3 tablespoons olive oil,olive_oil,OLIVE_OIL,RESOLVED_EXISTING,
SNAP8-SOMALI-SUMMER-SALAD,1 tablespoon lemon juice,lemon,LEMON,RESOLVED_EXISTING,
SNAP8-SOMALI-SUMMER-SALAD,3 apples,apple,APPLE,RESOLVED_EXISTING,
SNAP8-SOMALI-SUMMER-SALAD,2 green peppers,bell_pepper_green,BELL_PEPPER_GREEN,RESOLVED_EXISTING,
SNAP8-SOMALI-SUMMER-SALAD,3 tomatoes,tomato,TOMATO,RESOLVED_EXISTING,
SNAP8-SOMALI-SUMMER-SALAD,2 cucumbers,cucumber,CUCUMBER,RESOLVED_EXISTING,
FNS2-ORANGE-PORK-CHOPS,1 teaspoon oil,sunflower_oil,SUNFLOWER_OIL,RESOLVED_EXISTING,
FNS2-ORANGE-PORK-CHOPS,2 pork chops,pork_loin,PORK_LOIN,RESOLVED_EXISTING,
FNS2-ORANGE-PORK-CHOPS,"1 medium sweet potato, peeled and cut into ½-inch slices",sweet_potato,SWEET_POTATO,RESOLVED_EXISTING,
FNS2-ORANGE-PORK-CHOPS,"½ medium orange, sliced",orange,ORANGE,RESOLVED_EXISTING,
WIC4-BUTTERNUT-SOUP,1 butternut squash (large - about 3 pounds),butternut_squash,BUTTERNUT_SQUASH,RESOLVED_EXISTING,
WIC4-BUTTERNUT-SOUP,1 teaspoon olive oil (may need a bit more or less depending on the size of the squash),olive_oil,OLIVE_OIL,RESOLVED_EXISTING,
WIC4-BUTTERNUT-SOUP,1 teaspoon salt,salt,SALT,RESOLVED_EXISTING,
WIC4-BUTTERNUT-SOUP,3 cups milk (the amount depends on how thick or thin you like your soup!),milk_1_percent,MILK_1_PERCENT,RESOLVED_EXISTING,
WIC1-OVERNIGHT-OATS-CINNAMON-APPLE,1/3 cup low-fat or non-fat milk (or soy beverage),milk_1_percent,MILK_1_PERCENT,RESOLVED_EXISTING,
WIC1-OVERNIGHT-OATS-CINNAMON-APPLE,1/4 cup oats (rolled or quick),oats_rolled,OATS_ROLLED,RESOLVED_EXISTING,
WIC1-OVERNIGHT-OATS-CINNAMON-APPLE,1/4 cup plain low-fat or non-fat yogurt,yogurt_plain_low_fat,YOGURT_PLAIN_LOW_FAT,RESOLVED_EXISTING,
WIC1-OVERNIGHT-OATS-CINNAMON-APPLE,1 teaspoon cinnamon,cinnamon_ground,CINNAMON_GROUND,RESOLVED_EXISTING,
WIC1-OVERNIGHT-OATS-CINNAMON-APPLE,1/2 apple (chopped),apple,APPLE,RESOLVED_EXISTING,
SNAP2-SIMPLE-GREEN-SMOOTHIE,1 cup kale or spinach,spinach,SPINACH,RESOLVED_EXISTING,
SNAP2-SIMPLE-GREEN-SMOOTHIE,"1 banana, medium",banana,BANANA,RESOLVED_EXISTING,
SNAP2-SIMPLE-GREEN-SMOOTHIE,1 cup low fat milk (or optional coconut milk or almond milk),milk_1_percent,MILK_1_PERCENT,RESOLVED_EXISTING,
SNAP2-SIMPLE-GREEN-SMOOTHIE,1 cup plain yogurt,yogurt_plain_low_fat,YOGURT_PLAIN_LOW_FAT,RESOLVED_EXISTING,
SNAP2-SIMPLE-GREEN-SMOOTHIE,"1 apple, medium (cored and sliced)",apple,APPLE,RESOLVED_EXISTING,
SNAP2-SIMPLE-GREEN-SMOOTHIE,1 cup frozen fruit (all one fruit or a combination of mixed frozen fruit),strawberry,STRAWBERRY,RESOLVED_EXISTING,
SNAP3-GRILLED-FRUIT,1 cup pineapple chunks,pineapple,PINEAPPLE,RESOLVED_EXISTING,
SNAP3-GRILLED-FRUIT,1 peach (cubed),peach,PEACH,RESOLVED_EXISTING,
SNAP3-GRILLED-FRUIT,1 banana (sliced),banana,BANANA,RESOLVED_EXISTING,
WIC2-SPINACH-CAULIFLOWER-SMOOTHIE,1 cup milk,milk_1_percent,MILK_1_PERCENT,RESOLVED_EXISTING,
WIC2-SPINACH-CAULIFLOWER-SMOOTHIE,1/2 cup plain low-fat or non-fat yogurt (or vanilla flavored),yogurt_plain_low_fat,YOGURT_PLAIN_LOW_FAT,RESOLVED_EXISTING,
WIC2-SPINACH-CAULIFLOWER-SMOOTHIE,1 banana (peeled and sliced),banana,BANANA,RESOLVED_EXISTING,
WIC2-SPINACH-CAULIFLOWER-SMOOTHIE,1 cup spinach,spinach,SPINACH,RESOLVED_EXISTING,
WIC2-SPINACH-CAULIFLOWER-SMOOTHIE,1 cup apple (chopped),apple,APPLE,RESOLVED_EXISTING,
WIC2-SPINACH-CAULIFLOWER-SMOOTHIE,1/2 cup cauliflower (frozen),cauliflower,CAULIFLOWER,RESOLVED_EXISTING,
WIC2-SPINACH-CAULIFLOWER-SMOOTHIE,1/2 cup oats,oats_rolled,OATS_ROLLED,RESOLVED_EXISTING,
SNAP4-PEAR-ORANGE-SAUCE,4 pears (medium),pear,PEAR,RESOLVED_EXISTING,
SNAP4-PEAR-ORANGE-SAUCE,3/4 cup orange juice (100%),orange,ORANGE,RESOLVED_EXISTING,
SNAP4-PEAR-ORANGE-SAUCE,4 teaspoons sugar,sugar,SUGAR,RESOLVED_EXISTING,
SNAP4-SPRING-VEGETABLE-SAUTE,1 teaspoon olive oil,olive_oil,OLIVE_OIL,RESOLVED_EXISTING,
SNAP4-SPRING-VEGETABLE-SAUTE,1/2 cup sweet onion (sliced),onion_red,ONION_RED,RESOLVED_EXISTING,
SNAP4-SPRING-VEGETABLE-SAUTE,1 garlic clove (finely chopped),garlic,GARLIC,RESOLVED_EXISTING,
SNAP4-SPRING-VEGETABLE-SAUTE,"3 new potatoes (tiny, quartered)",potato,POTATO,RESOLVED_EXISTING,
SNAP4-SPRING-VEGETABLE-SAUTE,3/4 cup carrot (sliced),carrot,CARROT,RESOLVED_EXISTING,
SNAP4-SPRING-VEGETABLE-SAUTE,3/4 cup asparagus pieces,asparagus,ASPARAGUS,RESOLVED_EXISTING,
SNAP4-SPRING-VEGETABLE-SAUTE,"3/4 cup sugar snap peas, or green beans",green_beans,GREEN_BEANS,RESOLVED_EXISTING,
SNAP4-SPRING-VEGETABLE-SAUTE,1/2 cup radishes (quartered),radish,RADISH,RESOLVED_EXISTING,
SNAP4-SPRING-VEGETABLE-SAUTE,1/4 teaspoon salt,salt,SALT,RESOLVED_EXISTING,
SNAP4-SPRING-VEGETABLE-SAUTE,1/4 teaspoon black pepper,black_pepper,BLACK_PEPPER,RESOLVED_EXISTING,
SNAP4-SPRING-VEGETABLE-SAUTE,1/2 teaspoon dill (dried),dill_dried,DILL_DRIED,RESOLVED_EXISTING,
SNAP4-SPRING-VEGETABLE-SAUTE,"If the vegetables start to brown, add a Tablespoon or 2 of water.",water,WATER,RESOLVED_EXISTING,
FNS4-OVEN-FRIED-FISH,"1 large egg, slightly beaten",egg,EGG,RESOLVED_EXISTING,
FNS4-OVEN-FRIED-FISH,½ teaspoon salt,salt,SALT,RESOLVED_EXISTING,
FNS4-OVEN-FRIED-FISH,½ teaspoon ground black pepper,black_pepper,BLACK_PEPPER,RESOLVED_EXISTING,
FNS4-OVEN-FRIED-FISH,½ cup breadcrumbs,breadcrumbs,BREADCRUMBS,RESOLVED_EXISTING,
FNS4-OVEN-FRIED-FISH,"1 pound tilapia fillets, fresh or frozen and thawed (4 fillets)",tilapia_raw,TILAPIA_RAW,RESOLVED_EXISTING,
FNS4-OVEN-FRIED-FISH,"1 tablespoon butter, melted",butter_unsalted,BUTTER_UNSALTED,RESOLVED_EXISTING,
SNAP8-APPLE-CARROT-SOUP,"1 pound pork (lean, cut into chunks)",pork_loin,PORK_LOIN,RESOLVED_EXISTING,
SNAP8-APPLE-CARROT-SOUP,"4 apples (with skin, cored and quartered)",apple,APPLE,RESOLVED_EXISTING,
SNAP8-APPLE-CARROT-SOUP,"4 carrots (large, peeled and cut into chunks)",carrot,CARROT,RESOLVED_EXISTING,
SNAP8-APPLE-CARROT-SOUP,4 slices ginger,ginger,GINGER,RESOLVED_EXISTING,
SNAP8-APPLE-CARROT-SOUP,1/2 teaspoon salt,salt,SALT,RESOLVED_EXISTING,
SNAP8-APPLE-CARROT-SOUP,20 cups water,water,WATER,RESOLVED_EXISTING,
SNAP6-WALDORF-SALAD,1/4 cup walnuts (chopped),walnuts_raw,WALNUTS_RAW,RESOLVED_EXISTING,
SNAP6-WALDORF-SALAD,2 apples (cored and diced),apple,APPLE,RESOLVED_EXISTING,
SNAP6-WALDORF-SALAD,1 cup celery (diced),celery,CELERY,RESOLVED_EXISTING,
SNAP6-WALDORF-SALAD,1/2 cup raisins,raisins_golden,RAISINS_GOLDEN,RESOLVED_EXISTING,
SNAP6-WALDORF-SALAD,"1/4 cup plain yogurt, non-fat",yogurt_greek_nonfat,YOGURT_GREEK_NONFAT,RESOLVED_EXISTING,
SNAP6-WALDORF-SALAD,1/2 teaspoon sugar,sugar,SUGAR,RESOLVED_EXISTING,
SNAP6-WALDORF-SALAD,1 teaspoon lemon juice,lemon,LEMON,RESOLVED_EXISTING,
SNAP4-BROWN-RICE-PILAF,1 1/2 cups brown rice,rice_brown,RICE_BROWN,RESOLVED_EXISTING,
SNAP4-BROWN-RICE-PILAF,3 cups water,water,WATER,RESOLVED_EXISTING,
SNAP4-BROWN-RICE-PILAF,1/4 cup almonds (chopped),almonds_raw,ALMONDS_RAW,RESOLVED_EXISTING,
SNAP4-BROWN-RICE-PILAF,1 teaspoon parsley (dried),parsley_dried,PARSLEY_DRIED,RESOLVED_EXISTING,
SNAP4-BROWN-RICE-PILAF,1/2 teaspoon garlic powder,garlic_powder,GARLIC_POWDER,RESOLVED_EXISTING,
SNAP4-BROWN-RICE-PILAF,1/4 teaspoon black pepper,black_pepper,BLACK_PEPPER,RESOLVED_EXISTING,
SNAP5-KALE-NUTS-RAISINS,"1/4 cup nuts, chopped",walnuts_raw,WALNUTS_RAW,RESOLVED_EXISTING,
SNAP5-KALE-NUTS-RAISINS,2 tablespoons vegetable oil,sunflower_oil,SUNFLOWER_OIL,RESOLVED_EXISTING,
SNAP5-KALE-NUTS-RAISINS,"2 cloves garlic, chopped",garlic,GARLIC,RESOLVED_EXISTING,
SNAP5-KALE-NUTS-RAISINS,"4 cups kale, stems removed and chopped (1 bunch)",kale,KALE,RESOLVED_EXISTING,
SNAP5-KALE-NUTS-RAISINS,1/2 cup raisins,raisins_golden,RAISINS_GOLDEN,RESOLVED_EXISTING,
SNAP4-BRAISED-CHICKEN-SPINACH,"4 (6-ounce) chicken thighs, bone-in, skin removed",chicken_thigh,CHICKEN_THIGH,RESOLVED_EXISTING,
SNAP4-BRAISED-CHICKEN-SPINACH,1 teaspoon oil,sunflower_oil,SUNFLOWER_OIL,RESOLVED_EXISTING,
SNAP4-BRAISED-CHICKEN-SPINACH,½ teaspoon salt,salt,SALT,RESOLVED_EXISTING,
SNAP4-BRAISED-CHICKEN-SPINACH,½ teaspoon black pepper,black_pepper,BLACK_PEPPER,RESOLVED_EXISTING,
SNAP4-BRAISED-CHICKEN-SPINACH,"1 small onion, peeled, chopped",onion_yellow,ONION_YELLOW,RESOLVED_EXISTING,
SNAP4-BRAISED-CHICKEN-SPINACH,"3 garlic cloves, peeled, minced",garlic,GARLIC,RESOLVED_EXISTING,
SNAP4-BRAISED-CHICKEN-SPINACH,½ teaspoon dried thyme,thyme_dried,THYME_DRIED,RESOLVED_EXISTING,
SNAP4-BRAISED-CHICKEN-SPINACH,½ teaspoon dried rosemary,rosemary_dried,ROSEMARY_DRIED,RESOLVED_EXISTING,
SNAP4-BRAISED-CHICKEN-SPINACH,1 cup water,water,WATER,RESOLVED_EXISTING,
SNAP4-BRAISED-CHICKEN-SPINACH,1 10-ounce package frozen or 1 bunch fresh spinach,spinach,SPINACH,RESOLVED_EXISTING,
SNAP4-DILLED-FISH-FILLETS,1 pound haddock or cod fillets (frozen),cod_atlantic,COD_ATLANTIC,RESOLVED_EXISTING,
SNAP4-DILLED-FISH-FILLETS,1 tablespoon lemon juice,lemon,LEMON,RESOLVED_EXISTING,
SNAP4-DILLED-FISH-FILLETS,1/8 teaspoon dill weed (dried),dill_dried,DILL_DRIED,RESOLVED_EXISTING,
SNAP4-DILLED-FISH-FILLETS,1/8 teaspoon salt,salt,SALT,RESOLVED_EXISTING,
